dataset,k,cluster_entropy_bits,cluster_entropy_norm,cluster_size_min,cluster_size_max
alpaca,50,4.7540626568544,0.8423429827052626,34,2661
dolly,50,1.8085433613875594,0.32044462165145066,1,7713
oasst1,50,1.5943543352829648,0.28249379177512385,1,7178
alpaca,75,5.499366703520405,0.8828907978829925,26,1810
dolly,75,2.079581089399232,0.33386444408348565,1,7462
oasst1,75,1.9297473088979267,0.3098095168257817,1,6792
alpaca,100,6.004851638049806,0.9038202312824918,22,1536
dolly,100,2.571464555228787,0.3870439819553016,1,6876
oasst1,100,2.2892656866137115,0.34456881985751325,1,6331
